index,title,,year,scale,villan,positive representation,diverse representation (dynamic character or other dynamic characters),characters
1,Failan,파이란,2001,mainstream,no,neutral,none,sham marriage
2,Grain in Ear,망종,2005,indie,yes,neutral,yes,"normal person, trafficker"
3,Dancing Princess,댄서의 순정,2005,mainstream,no,no,no,mail-order bride
4,Let the Blue River Run,푸른강은 흘러라,2008,indie,no,yes,yes,normal person
5,China Blue,차이나 블루,2010,indie,yes,no,yes,"gangster, normal person"
6,The Yellow Sea,황해,2010,mainstream,yes,no,no,hit-man
7,Dooman River,두만강,2011,indie,no,yes,yes,normal person
8,Countdown,카운트다운,2011,mainstream,yes,no,no,gangster
9,Stateless Things,줄탁동시,2012,indie,no,neutral,neutral,normal person
10,Traffickers,공모자들,2012,mainstream,yes,no,no,trafficker
11,Farewell,작별들,2013,indie,no,neutral,no,"poor person, thief"
12,New World,신세계,2013,mainstream,yes,no,yes,"hit-man, taxi driver"
13,Hide and Seek,숨바꼭질,2013,mainstream,no,neutral,neutral,normal person
14,Sea Fog,해무,2014,mainstream,no,neutral,yes,stowaway
15,Tuning Fork,소리굽쇠,2015,indie,no,neutral,neutral,normal person
16,Coin Locker Girl,차이나타운,2015,mainstream,yes,no,no,hit-man
17,Veteran,베테랑,2015,mainstream,yes,no,no,gangster
18,The Advocate: Missing Body,성난 변호사,2015,mainstream,yes,no,no,illegal corpse seller
19,Asura: The City of Madness,아수라,2016,mainstream,yes,no,no,hit-man
20,Missing,미씽,2016,mainstream,yes,no,yes,"mail-order bride, kidnapper"
21,Midnight Runners,청년경찰,2017,mainstream,yes,no,no,trafficker
22,The Villaness,악녀,2017,mainstream,yes,no,no,hit-man
23,The Outlaws,범죄도시,2017,mainstream,yes,no,no,gangster
24,Steel Rain,강철비,2017,mainstream,no,yes,no,chiniese government official
25,RV: Resurrected Victims,희생부활자,2017,mainstream,yes,no,no,"killer, theif"
26,Beautiful Days,뷰티풀 데이즈,2018,mainstream,yes,no,yes,"normal person, trafficker"
27,The Boy From Nowhere,소년 서핑,2019,indie,no,no,no,"illegal broker, ex-con"
28,The Threshold Of Death,사선의 끝,2019,indie,no,no,no,prostitute
29,Idol,우상,2019,mainstream,yes,no,no,"killer, undocumented alien"
30,Namui Nara,남의 나라,2021,indie,no,neutral,no,normal person
31,The Roundup,범죄도시,2022,mainstream,no,neutral,no,police officer
