2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,score
Haenam-gun,Haenam-gun,Haenam-gun,Haenam-gun,Haenam-gun,Haenam-gun,Haenam-gun,Haenam-gun,Haenam-gun,Haenam-gun,10
Goesan-gun,Goesan-gun,Goesan-gun,Goesan-gun,Goesan-gun,Goesan-gun,Goesan-gun,Goesan-gun,Goesan-gun,Goesan-gun,9
Gochang-gun,Gochang-gun,Gochang-gun,Yeongyang-gun,Yeongyang-gun,Yeongyang-gun,Yeongyang-gun,Yeongyang-gun,Yeongyang-gun,Yeongyang-gun,8
Muan-gun,Sinan-gun,Cheongju-si,Gochang-gun,Gochang-gun,Gochang-gun,Cheongju-si,Gochang-gun,Yeongwol-gun,Gochang-gun,7
Dangjin-si,Yeongdeok-gun,Yeongyang-gun,Muan-gun,Yeongdeok-gun,Yeongwol-gun,Gochang-gun,Cheongju-si,Gochang-gun,Yeongwol-gun,6
Gangneung-si,Cheongju-si,Sinan-gun,Gangneung-si,Muan-gun,Muan-gun,Yeongdeok-gun,Yeongwol-gun,Cheongju-si,Gangneung-si,5
Hongseong-gun,Mungyeong-si,Mungyeong-si,Sinan-gun,Gangneung-si,Cheongju-si,Yeongwol-gun,Yeongdeok-gun,Pyeongchang-gun,Cheongju-si,4
Cheongju-si,Chuncheon-si,Yeongdeok-gun,Yeongdeok-gun,Chuncheon-si,Gangneung-si,Gangneung-si,Bonghwa-gun,Yeongdeok-gun,Seosan-si,3
Jindo-gun,Pyeongtaek-si,Chuncheon-si,Chuncheon-si,Mungyeong-si,Chuncheon-si,Chuncheon-si,Chuncheon-si,Bonghwa-gun,Yeongdeok-gun,2
Mungyeong-si,Muan-gun,Gangneung-si,Hongcheon-gun,Yeoncheon-gun,Mungyeong-si,Chungju-si,Gangneung-si,Chungju-si,Chungju-si,1
