2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,score
Changnyeong-gun,Changnyeong-gun,Changnyeong-gun,Changnyeong-gun,Changnyeong-gun,Changnyeong-gun,Changnyeong-gun,Changnyeong-gun,Changnyeong-gun,Changnyeong-gun,10
Goheung-gun,Yeongcheon-si,Haenam-gun,Yeongcheon-si,Yeongcheon-si,Yeongcheon-si,Uiseong-gun,Uiseong-gun,Yeongcheon-si,Uiseong-gun,9
Uiseong-gun,Goheung-gun,Yeongcheon-si,Haenam-gun,Hapcheon-gun,Uiseong-gun,Yeongcheon-si,Yeongcheon-si,Uiseong-gun,Yeongcheon-si,8
Seogwipo-si,Seogwipo-si,Goheung-gun,Hapcheon-gun,Goheung-gun,Seogwipo-si,Seosan-si,Seosan-si,Seosan-si,Hapcheon-gun,7
Haenam-gun,Haenam-gun,Seogwipo-si,Seogwipo-si,Seogwipo-si,Hapcheon-gun,Seogwipo-si,Hapcheon-gun,Hapcheon-gun,Seosan-si,6
Sinan-gun,Uiseong-gun,Uiseong-gun,Goheung-gun,Uiseong-gun,Haenam-gun,Goheung-gun,Goheung-gun,Seogwipo-si,Taean-gun,5
Namhae-gun,Hapcheon-gun,Sinan-gun,Uiseong-gun,Haenam-gun,Goheung-gun,Hapcheon-gun,Seogwipo-si,Sinan-gun,Seogwipo-si,4
Yeongcheon-si,Jeju-si,Hapcheon-gun,Seosan-si,Seosan-si,Seosan-si,Taean-gun,Taean-gun,Taean-gun,Goheung-gun,3
Jeju-si,Taean-gun,Taean-gun,Taean-gun,Taean-gun,Taean-gun,Haenam-gun,Sinan-gun,Goheung-gun,Haenam-gun,2
Taean-gun,Sinan-gun,Jeju-si,Sinan-gun,Sinan-gun,Sinan-gun,Sinan-gun,Haenam-gun,Goryeong-gun,Sinan-gun,1
