2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,score
Muan-gun,Muan-gun,Muan-gun,Muan-gun,Muan-gun,Muan-gun,Muan-gun,Muan-gun,Muan-gun,Muan-gun,10
Sinan-gun,Sinan-gun,Sinan-gun,Sinan-gun,Sinan-gun,Sinan-gun,Sinan-gun,Sinan-gun,Sinan-gun,Sinan-gun,9
Hapcheon-gun,Changnyeong-gun,Hapcheon-gun,Changnyeong-gun,Changnyeong-gun,Changnyeong-gun,Changnyeong-gun,Changnyeong-gun,Hapcheon-gun,Hamyang-gun,8
Hampyeong-gun,Hapcheon-gun,Changnyeong-gun,Hapcheon-gun,Hapcheon-gun,Goryeong-gun,Hapcheon-gun,Hapcheon-gun,Hamyang-gun,Changnyeong-gun,7
Changnyeong-gun,Jeju-si,Hamyang-gun,Haenam-gun,Hamyang-gun,Hapcheon-gun,Hamyang-gun,Hamyang-gun,Changnyeong-gun,Hapcheon-gun,6
Goheung-gun,Hamyang-gun,Hampyeong-gun,Hamyang-gun,Gochang-gun,Hamyang-gun,Goryeong-gun,Hampyeong-gun,Goryeong-gun,Goryeong-gun,5
Hamyang-gun,Hampyeong-gun,Haenam-gun,Gochang-gun,Hampyeong-gun,Seogwipo-si,Hampyeong-gun,Goryeong-gun,Gochang-gun,Hampyeong-gun,4
Haenam-gun,Haenam-gun,Jeju-si,Hampyeong-gun,Jeju-si,Jeju-si,Goheung-gun,Jeju-si,Seogwipo-si,Seogwipo-si,3
Gimcheon-si,Goheung-gun,Goheung-gun,Jeju-si,Naju-si,Hampyeong-gun,Jeju-si,Gochang-gun,Hampyeong-gun,Haenam-gun,2
Goryeong-gun,Seogwipo-si,Seogwipo-si,Naju-si,Goryeong-gun,Gochang-gun,Gochang-gun,Haenam-gun,Goheung-gun,Goheung-gun,1
