2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,score
Andong-si,Andong-si,Andong-si,Andong-si,Andong-si,Andong-si,Andong-si,Andong-si,Andong-si,Andong-si,10
Yeongyang-gun,Bonghwa-gun,Yeongyang-gun,Yeongyang-gun,Yeongyang-gun,Bonghwa-gun,Yeongyang-gun,Yeongyang-gun,Yeongyang-gun,Yeongyang-gun,9
Bonghwa-gun,Yeongyang-gun,Bonghwa-gun,Bonghwa-gun,Haenam-gun,Yeongyang-gun,Bonghwa-gun,Bonghwa-gun,Bonghwa-gun,Bonghwa-gun,8
Uiseong-gun,Gochang-gun,Gochang-gun,Gochang-gun,Bonghwa-gun,Gochang-gun,Haenam-gun,Haenam-gun,Haenam-gun,Haenam-gun,7
Gochang-gun,Haenam-gun,Jeongeup-si,Jeongeup-si,Gochang-gun,Haenam-gun,Gochang-gun,Uiseong-gun,Uiseong-gun,Uiseong-gun,6
Haenam-gun,Jeongeup-si,Haenam-gun,Haenam-gun,Jeongeup-si,Jeongeup-si,Uiseong-gun,Jinan-gun,Gochang-gun,Gochang-gun,5
Sinan-gun,Uiseong-gun,Yeongju-si,Yeongju-si,Uiseong-gun,Yeongju-si,Jinan-gun,Jeongeup-si,Jinan-gun,Jinan-gun,4
Cheongsong-gun,Yeongju-si,Uiseong-gun,Uiseong-gun,Yeongju-si,Danyang-gun,Jeongeup-si,Gochang-gun,Goesan-gun,Goesan-gun,3
Danyang-gun,Danyang-gun,Jecheon-si,Danyang-gun,Cheongsong-gun,Uiseong-gun,Cheongsong-gun,Danyang-gun,Jeongeup-si,Danyang-gun,2
Jeongeup-si,Yeonggwang-gun,Goesan-gun,Goesan-gun,Pyeongchang-gun,Cheongsong-gun,Cheongyang-gun,Cheongsong-gun,Cheongsong-gun,Cheongyang-gun,1
