2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,score
Dangjin-si,Gochang-gun,Gochang-gun,Gochang-gun,Gochang-gun,Gochang-gun,Gochang-gun,Gochang-gun,Gochang-gun,Gochang-gun,10
Gochang-gun,Iksan-si,Dangjin-si,Dangjin-si,Dangjin-si,Yeongam-gun,Dangjin-si,Dangjin-si,Dangjin-si,Dangjin-si,9
Yeongam-gun,Yeonggwang-gun,Naju-si,Yeongam-gun,Muan-gun,Dangjin-si,Yeongam-gun,Hwaseong-si,Buan-gun,Muan-gun,8
Yesan-gun,Yeongam-gun,Yeongam-gun,Gimje-si,Anseong-si,Haenam-gun,Naju-si,Naju-si,Naju-si,Gimje-si,7
Anseong-si,Dangjin-si,Yeonggwang-gun,Naju-si,Yeongam-gun,Jeongeup-si,Gimje-si,Yeongam-gun,Haenam-gun,Hwaseong-si,6
Pyeongtaek-si,Gwangsan-gu,Yeongcheon-si,Hwaseong-si,Yeoju-si,Naju-si,Buan-gun,Gimje-si,Muan-gun,Anseong-si,5
Muan-gun,Naju-si,Hampyeong-gun,Pyeongtaek-si,Chuncheon-si,Gimje-si,Hwaseong-si,Gwangsan-gu,Seosan-si,Yeongam-gun,4
Buan-gun,Anseong-si,Gimje-si,Yeonggwang-gun,Jinju-si,Cheorwon-gun,Jeongeup-si,Seosan-si,Yeongam-gun,Gwangsan-gu,3
Naju-si,Yesan-gun,Hwaseong-si,Jeongeup-si,Jeongeup-si,Hwaseong-si,Gwangsan-gu,Muan-gun,Gwangsan-gu,Buan-gun,2
Gwangsan-gu,Icheon-si,Gwangsan-gu,Chuncheon-si,Seosan-si,Seosan-si,Wonju-si,Hongseong-gun,Bonghwa-gun,Nonsan-si,1
