month_day,2022,2023,2024,2025,2026
2024-01-01,,,0.0,0.0,0.0
2024-01-02,0.0,0.0,88.383,82.055,119.852
2024-01-03,93.225,109.755,125.466,125.383,119.852
2024-01-04,111.349,128.943,141.254,125.383,119.852
2024-01-05,126.869,149.107,159.343,125.383,134.927
2024-01-06,144.511,166.707,159.343,142.568,153.934
2024-01-07,161.793,166.707,159.343,160.888,167.31
2024-01-08,161.793,166.707,176.145,206.126,183.568
2024-01-09,161.793,184.43,192.634,218.761,197.76
2024-01-10,178.776,201.762,233.204,225.533,197.76
2024-01-11,195.986,244.194,292.651,225.533,197.76
2024-01-12,234.271,294.201,315.293,225.533,213.72
2024-01-13,254.14,311.019,315.293,246.188,233.636
2024-01-14,271.699,311.019,315.293,262.555,280.649
2024-01-15,271.699,311.019,315.293,327.643,319.405
2024-01-16,271.699,311.019,336.529,344.494,336.947
2024-01-17,271.699,333.557,377.535,363.629,336.947
2024-01-18,292.204,375.422,393.47,363.629,336.947
2024-01-19,330.913,390.601,411.214,363.629,336.947
2024-01-20,344.327,413.288,411.214,363.629,354.918
2024-01-21,368.89,413.288,411.214,381.57,401.124
2024-01-22,368.89,413.288,433.462,436.149,429.276
2024-01-23,368.89,429.76,447.629,453.766,441.334
2024-01-24,382.956,443.968,485.665,468.447,441.334
2024-01-25,401.943,482.19,504.459,468.447,441.334
2024-01-26,438.292,499.404,519.612,468.447,455.52
2024-01-27,456.639,513.749,519.612,480.107,469.269
2024-01-28,473.046,513.749,519.612,493.815,514.116
2024-01-29,473.046,513.749,535.237,517.469,532.431
2024-01-30,473.046,527.857,549.175,538.126,649.158
2024-01-31,494.681,557.152,583.301,668.335,649.158
2024-02-01,584.079,658.564,686.637,668.335,649.158
2024-02-02,601.613,671.355,729.047,668.335,707.982
2024-02-03,639.919,713.707,729.047,722.498,750.828
2024-02-04,656.753,713.707,729.047,739.831,767.999
2024-02-05,656.753,713.707,744.738,755.558,784.538
2024-02-06,656.753,729.202,760.349,773.665,803.119
2024-02-07,672.814,746.416,775.939,789.209,803.119
2024-02-08,692.713,792.583,791.87,789.209,803.119
2024-02-09,732.678,807.26,803.971,789.209,820.738
2024-02-10,752.903,822.661,803.971,806.009,839.244
2024-02-11,764.114,822.661,803.971,823.493,894.28
2024-02-12,764.114,822.661,817.369,872.332,910.843
2024-02-13,764.114,838.464,835.261,887.898,937.083
2024-02-14,779.112,853.466,880.298,912.497,937.083
2024-02-15,846.928,954.8,961.046,912.497,937.083
2024-02-16,888.703,969.924,978.378,912.497,937.083
2024-02-17,907.013,986.504,978.378,912.497,1039.578
2024-02-18,924.539,986.504,978.378,1001.805,1089.201
2024-02-19,924.539,986.504,978.378,1048.448,1114.778
2024-02-20,924.539,986.504,996.694,1073.281,1141.577
2024-02-21,924.539,1009.508,1041.067,1100.677,1141.577
2024-02-22,963.776,1077.61,1114.608,1100.677,1141.577
2024-02-23,1005.521,1134.397,1133.373,1100.677,1182.864
2024-02-24,1058.977,1150.119,1133.373,1139.71,1211.57
2024-02-25,1076.237,1150.119,1133.373,1168.639,1291.626
2024-02-26,1076.237,1150.119,1149.274,1242.623,1314.26
2024-02-27,1076.237,1168.142,1168.329,1262.163,1423.87
2024-02-28,1100.601,1196.165,1224.31,1385.005,1423.87
2024-02-29,1100.601,1196.165,1255.219,1385.005,1423.87
2024-03-01,1191.984,1301.216,1383.563,1385.005,1423.87
2024-03-02,1226.086,1317.384,1383.563,1385.005,1480.747
2024-03-03,1263.432,1360.36,1383.563,1443.148,1524.895
2024-03-04,1282.173,1360.36,1402.338,1464.375,1559.51
2024-03-05,1282.173,1360.36,1421.326,1495.008,1581.863
2024-03-06,1282.173,1379.344,1446.559,1513.724,1604.09
2024-03-07,1301.597,1399.349,1461.055,1537.23,1604.09
2024-03-08,1322.52,1448.049,1477.74,1537.23,1604.09
2024-03-09,1374.464,1466.051,1477.74,1537.23,1621.209
2024-03-10,1396.095,1518.286,1477.74,1557.11,1642.908
2024-03-11,1409.595,1518.286,1492.462,1569.723,1707.113
2024-03-12,1409.595,1518.286,1513.833,1636.034,1726.617
2024-03-13,1409.595,1537.597,1565.428,1652.88,1756.321
2024-03-14,1424.273,1555.064,1582.789,1679.34,1756.321
2024-03-15,1446.838,1608.962,1610.733,1679.34,1756.321
2024-03-16,1495.049,1624.541,1610.733,1679.34,1780.271
2024-03-17,1511.935,1642.786,1610.733,1701.983,1796.183
2024-03-18,1529.967,1642.786,1627.512,1716.665,1854.037
2024-03-19,1529.967,1642.786,1644.177,1768.715,1872.357
