month_day,2022,2023,2024,2025,2026
2022-01-01,,,0.0,0.0,0.0
2022-01-02,0.0,0.0,80.63338468120556,72.68620886252552,103.68826667238233
2022-01-03,93.225,103.22384316956261,114.46486589516239,111.06714917811269,103.68826667238233
2022-01-04,111.349,121.27002878969444,128.8685394222759,111.06714917811269,103.68826667238233
2022-01-05,126.869,140.23413587976833,145.37145622186776,111.06714917811269,116.7301902121327
2022-01-06,144.511,156.7868181246255,145.37145622186776,126.29001797711948,133.17382807084155
2022-01-07,161.793,156.7868181246255,145.37145622186776,142.5182959170557,144.7458857337073
2022-01-08,161.793,156.7868181246255,160.7002200046497,182.59115822310565,158.81126503117076
2022-01-09,161.793,173.45518104653485,175.74342831403496,193.78353222807803,171.08927358016825
2022-01-10,178.776,189.75581108448173,212.75616171883578,199.78232579845184,171.08927358016825
2022-01-11,195.986,229.66282318753744,266.9907183546552,199.78232579845184,171.08927358016825
2022-01-12,234.271,276.69407210904734,287.6474181266912,199.78232579845184,184.89684238245127
2022-01-13,254.14,292.5112885859796,287.6474181266912,218.07900051730462,202.12688876504953
2022-01-14,271.699,292.5112885859796,287.6474181266912,232.5772660764169,242.79952235538352
2022-01-15,271.699,292.5112885859796,287.6474181266912,290.2337155608366,276.3287289030827
2022-01-16,271.699,292.5112885859796,307.0213990629581,305.1607194672703,291.50494268313594
2022-01-17,271.699,313.70812679249053,344.43190303134025,322.1109431780061,291.50494268313594
2022-01-18,292.204,353.08187918913524,358.9696872759915,322.1109431780061,291.50494268313594
2022-01-19,330.913,367.3576271320152,375.1578544323825,322.1109431780061,291.50494268313594
2022-01-20,344.327,388.69459884162177,375.1578544323825,322.1109431780061,307.0522997599422
2022-01-21,368.89,388.69459884162177,375.1578544323825,338.0034941889447,347.0267686871532
2022-01-22,368.89,388.69459884162177,395.4551009887051,386.3508294336925,371.382074258699
2022-01-23,368.89,404.18640463351306,408.3799073516781,401.95637378237467,381.8138828187196
2022-01-24,382.956,417.54893357299784,443.08082743511426,414.96114171011504,381.8138828187196
2022-01-25,401.943,453.4964688436189,460.2269282882034,414.96114171011504,381.8138828187196
2022-01-26,438.292,469.6861206710605,474.05128000826613,414.96114171011504,394.08670055237786
2022-01-27,456.639,483.1774971939285,474.05128000826613,425.28983825922296,405.98145390216416
