agency,fiscal_year,month,spending,calendar_month,calendar_year
Department of Health and Human Services,2015,1,94046514777.15001,10,2014
Department of Health and Human Services,2015,2,2698804561.8199997,11,2014
Department of Health and Human Services,2015,3,162969183952.23,12,2014
Department of Health and Human Services,2015,4,106866855811.64,1,2015
Department of Health and Human Services,2015,5,4146564374.6099997,2,2015
Department of Health and Human Services,2015,6,161747092391.26,3,2015
Department of Health and Human Services,2015,7,85794311988.84999,4,2015
Department of Health and Human Services,2015,8,3543792506.49,5,2015
Department of Health and Human Services,2015,9,170414835634.44998,6,2015
Department of Health and Human Services,2015,10,81956170702.97,7,2015
Department of Health and Human Services,2015,11,5795324144.56,8,2015
Department of Health and Human Services,2015,12,176625342730.44,9,2015
Department of Health and Human Services,2016,1,99635748074.38,10,2015
Department of Health and Human Services,2016,2,2284058369.01,11,2015
Department of Health and Human Services,2016,3,169796784599.2,12,2015
Department of Health and Human Services,2016,4,127002806464.84,1,2016
Department of Health and Human Services,2016,5,3018539147.0800004,2,2016
Department of Health and Human Services,2016,6,166663174282.19,3,2016
Department of Health and Human Services,2016,7,89584329462.23999,4,2016
Department of Health and Human Services,2016,8,5355391991.809999,5,2016
Department of Health and Human Services,2016,9,171913592412.89,6,2016
Department of Health and Human Services,2016,10,105180210920.75,7,2016
Department of Health and Human Services,2016,11,8299251185.13,8,2016
Department of Health and Human Services,2016,12,207073347112.82,9,2016
Department of Health and Human Services,2017,1,113268223641.8,10,2016
Department of Health and Human Services,2017,2,754946253.4100001,11,2016
Department of Health and Human Services,2017,3,161478454054.4,12,2016
Department of Health and Human Services,2017,4,125421904276.68999,1,2017
Department of Health and Human Services,2017,5,-1511946105.96,2,2017
Department of Health and Human Services,2017,6,209680612985.09,3,2017
Department of Health and Human Services,2017,7,89765856392.34,4,2017
Department of Health and Human Services,2017,8,4760590863.309999,5,2017
Department of Health and Human Services,2017,9,190920824990.05,6,2017
Department of Health and Human Services,2017,10,110706249692.76001,7,2017
Department of Health and Human Services,2017,11,10379207493.01,8,2017
Department of Health and Human Services,2017,12,198660806554.71997,9,2017
Department of Health and Human Services,2018,1,100672901146.56999,10,2017
Department of Health and Human Services,2018,2,2963407305.9,11,2017
Department of Health and Human Services,2018,3,167224759417.57,12,2017
Department of Health and Human Services,2018,4,127528777858.95,1,2018
Department of Health and Human Services,2018,5,15975893091.11,2,2018
Department of Health and Human Services,2018,6,207492133434.25,3,2018
Department of Health and Human Services,2018,7,102997117982.11,4,2018
Department of Health and Human Services,2018,8,11897809354.09,5,2018
Department of Health and Human Services,2018,9,202550719960.59998,6,2018
Department of Health and Human Services,2018,10,109949643580.81999,7,2018
Department of Health and Human Services,2018,11,11932600747.15,8,2018
Department of Health and Human Services,2018,12,171306979243.34003,9,2018
Department of Health and Human Services,2019,1,113126670139.0,10,2018
Department of Health and Human Services,2019,2,5206643171.559999,11,2018
Department of Health and Human Services,2019,3,192058349346.24,12,2018
Department of Health and Human Services,2019,4,149514269368.78998,1,2019
Department of Health and Human Services,2019,5,6675773692.070001,2,2019
Department of Health and Human Services,2019,6,189387617778.06,3,2019
Department of Health and Human Services,2019,7,111619380943.73,4,2019
Department of Health and Human Services,2019,8,4413168434.04,5,2019
Department of Health and Human Services,2019,9,219784602065.94,6,2019
Department of Health and Human Services,2019,10,110770601727.98,7,2019
Department of Health and Human Services,2019,11,11354726743.849998,8,2019
Department of Health and Human Services,2019,12,206818223895.08002,9,2019
Department of Health and Human Services,2020,1,121241475987.7,10,2019
Department of Health and Human Services,2020,2,7772169669.97,11,2019
Department of Health and Human Services,2020,3,204615587552.75998,12,2019
Department of Health and Human Services,2020,4,145238123659.8,1,2020
Department of Health and Human Services,2020,5,12055711235.420002,2,2020
Department of Health and Human Services,2020,6,217084995874.39,3,2020
Department of Health and Human Services,2020,7,342952739286.74,4,2020
Department of Health and Human Services,2020,8,107379066820.5,5,2020
Department of Health and Human Services,2020,9,104474353579.31,6,2020
Department of Health and Human Services,2020,10,259006385628.84003,7,2020
Department of Health and Human Services,2020,11,51866168438.83,8,2020
Department of Health and Human Services,2020,12,94568682371.45001,9,2020
Department of Health and Human Services,2021,1,251975358836.21,10,2020
Department of Health and Human Services,2021,2,40849228640.729996,11,2020
Department of Health and Human Services,2021,3,82442883955.05,12,2020
Department of Health and Human Services,2021,4,276516179032.85004,1,2021
Department of Health and Human Services,2021,5,89172280035.58002,2,2021
Department of Health and Human Services,2021,6,107688656602.10002,3,2021
Department of Health and Human Services,2021,7,285214913587.04,4,2021
Department of Health and Human Services,2021,8,51072115234.810005,5,2021
Department of Health and Human Services,2021,9,99043869550.83,6,2021
Department of Health and Human Services,2021,10,252340516125.45,7,2021
Department of Health and Human Services,2021,11,48371562947.840004,8,2021
Department of Health and Human Services,2021,12,94059642912.01001,9,2021
Department of Health and Human Services,2022,1,231072187308.18,10,2021
Department of Health and Human Services,2022,2,85638976652.74998,11,2021
Department of Health and Human Services,2022,3,93302093653.7,12,2021
Department of Health and Human Services,2022,4,287027892554.82,1,2022
Department of Health and Human Services,2022,5,76088031284.95,2,2022
Department of Health and Human Services,2022,6,81761095419.20999,3,2022
Department of Health and Human Services,2022,7,262689538738.29996,4,2022
Department of Health and Human Services,2022,8,40321633099.69,5,2022
